ASK,BID,QUANTITY
42.244,41.916,0
42.025,41.917,0
42.018,41.917,0
42.013,41.916,0
41.993,41.917,0
41.993,41.917,0
41.973,41.917,0
41.954,41.916,0
41.943,41.917,0
41.954,41.916,0
41.974,41.916,0
41.953,41.937,0
41.954,41.906,0
41.954,41.906,0
41.953,41.907,0
41.973,41.937,0
41.973,41.937,0
41.983,41.957,0
41.984,41.946,0
41.983,41.947,0
42.003,41.977,0
41.993,41.977,0
41.994,41.966,0
42.004,41.966,0
41.994,41.966,0
41.984,41.966,0
41.993,41.957,0
41.965,41.957,0
41.964,41.946,0
41.953,41.947,0
41.954,41.936,0
41.953,41.927,0
41.954,41.926,0
41.954,41.926,0
41.953,41.927,0
41.983,41.957,0
41.993,41.957,0
41.983,41.957,0
41.993,41.957,0
41.983,41.957,0
41.974,41.936,0
41.964,41.936,0
41.973,41.937,0
41.964,41.926,0
41.963,41.937,0
41.974,41.946,0
41.963,41.947,0
41.963,41.937,0
41.974,41.946,0
41.994,41.956,0
41.983,41.957,0
41.973,41.947,0
41.984,41.956,0
41.973,41.947,0
41.973,41.947,0
41.974,41.946,0
41.983,41.947,0
41.974,41.946,0
41.984,41.946,0
41.973,41.947,0
41.983,41.947,0
41.983,41.947,0
41.983,41.947,0
41.984,41.946,0
41.983,41.947,0
41.984,41.946,0
41.993,41.957,0
41.984,41.956,0
41.993,41.957,0
41.983,41.957,0
41.973,41.947,0
41.984,41.946,0
41.973,41.947,0
41.974,41.946,0
41.973,41.947,0
41.993,41.957,0
41.993,41.957,0
42.004,41.966,0
41.993,41.967,0
41.983,41.967,0
41.983,41.957,0
41.993,41.957,0
41.983,41.957,0
41.993,41.957,0
41.983,41.957,0
41.994,41.956,0
41.983,41.957,0
41.993,41.957,0
41.983,41.957,0
41.984,41.946,0
41.984,41.936,0
41.984,41.936,0
41.973,41.947,0
41.973,41.947,0
41.984,41.966,0
41.993,41.967,0
42.004,41.976,0
42.004,41.966,0
41.993,41.967,0
42.003,41.977,0
42.014,41.976,0
41.994,41.976,0
41.993,41.967,0
42.003,41.967,0
41.994,41.966,0
42.004,41.966,0
41.993,41.967,0
42.003,41.977,0
41.994,41.976,0
42.004,41.966,0
42.004,41.966,0
42.013,41.977,0
42.013,41.977,0
42.013,41.977,0
42.014,41.986,0
42.014,41.976,0
42.014,41.976,0
42.003,41.977,0
42.014,41.976,0
42.013,41.977,0
42.014,41.976,0
42.014,41.976,0
42.014,41.976,0
42.014,41.986,0
42.013,41.977,0
42.014,41.976,0
42.013,41.977,0
42.013,41.977,0
42.014,41.976,0
42.013,41.977,0
42.014,41.976,0
41.993,41.977,0
42.004,41.976,0
42.013,41.977,0
42.004,41.976,0
42.014,41.976,0
42.004,41.976,0
42.014,41.976,0
42.003,41.977,0
42.014,41.976,0
42.003,41.977,0
42.003,41.977,0
42.014,41.976,0
42.013,41.977,0
42.014,41.996,0
42.023,41.997,0
42.023,41.997,0
42.024,41.996,0
42.034,41.996,0
42.034,41.996,0
42.023,42.007,0
42.024,41.996,0
42.024,41.996,0
42.033,42.007,0
42.033,41.997,0
42.034,41.996,0
42.013,41.997,0
42.013,41.987,0
42.023,41.997,0
42.023,41.997,0
42.033,42.007,0
42.023,41.997,0
42.034,41.996,0
42.013,41.987,0
42.004,41.986,0
42.003,41.977,0
41.993,41.977,0
42.013,41.987,0
42.014,41.976,0
