ASK,BID,QUANTITY
207.612,206.498,0
207.532,206.498,0
207.532,206.918,0
207.612,206.918,0
207.792,206.918,0
207.792,206.928,0
207.802,206.928,0
207.802,207.248,0
207.532,206.938,0
207.802,207.198,0
207.932,207.198,0
208.152,206.938,0
207.802,206.938,0
207.802,207.098,0
207.802,207.198,0
207.802,207.208,0
208.152,207.198,0
208.162,207.198,0
208.152,207.198,0
208.112,207.198,0
208.162,207.198,0
208.152,207.198,0
208.142,207.198,0
208.162,207.198,0
208.142,207.198,0
208.142,207.238,0
207.582,207.238,0
208.112,207.238,0
208.122,207.238,0
208.092,207.238,0
208.102,207.238,0
208.092,207.238,0
208.102,207.238,0
208.092,207.238,0
207.512,207.238,0
207.412,206.508,0
207.412,206.278,0
207.412,206.168,0
207.512,206.168,0
207.512,206.278,0
207.552,206.278,0
207.552,206.508,0
207.552,206.548,0
207.552,206.758,0
207.272,206.758,0
207.552,206.758,0
207.222,206.758,0
207.552,206.758,0
207.592,206.758,0
207.572,206.758,0
207.212,206.758,0
207.572,206.758,0
207.182,206.758,0
207.572,206.758,0
207.572,206.768,0
207.552,206.768,0
207.592,206.768,0
207.592,206.758,0
207.592,206.918,0
207.592,206.948,0
207.592,206.918,0
207.702,206.918,0
208.072,207.338,0
208.072,207.128,0
208.162,207.548,0
208.162,207.118,0
208.162,207.488,0
208.382,207.488,0
208.502,207.488,0
208.502,207.258,0
208.502,207.298,0
208.182,207.298,0
208.172,207.298,0
208.162,207.298,0
208.162,207.698,0
208.922,207.728,0
208.922,207.668,0
208.772,207.668,0
208.772,207.768,0
208.782,208.218,0
209.022,208.218,0
209.112,208.218,0
209.072,208.218,0
209.082,208.218,0
208.922,208.218,0
209.072,208.218,0
209.072,208.318,0
209.362,208.318,0
209.112,208.328,0
209.102,208.328,0
209.102,208.468,0
209.102,208.508,0
209.092,208.508,0
208.912,208.508,0
209.092,208.508,0
209.102,208.508,0
209.122,208.508,0
209.092,208.508,0
209.122,208.508,0
209.362,208.508,0
209.232,208.728,0
209.092,208.518,0
209.062,208.518,0
209.062,208.658,0
209.362,208.658,0
209.572,208.658,0
209.232,208.658,0
209.572,208.658,0
209.232,208.658,0
209.222,208.658,0
209.232,208.658,0
209.232,208.588,0
209.232,208.778,0
209.102,208.778,0
209.492,208.918,0
209.492,208.778,0
209.492,209.108,0
209.832,209.108,0
209.832,208.778,0
209.832,208.828,0
209.922,208.828,0
209.922,209.218,0
210.252,209.218,0
210.252,209.118,0
210.252,209.268,0
210.252,209.338,0
210.252,209.438,0
210.252,209.488,0
210.252,209.498,0
210.252,209.638,0
210.252,209.498,0
210.252,209.488,0
210.252,209.648,0
210.252,209.488,0
210.252,209.478,0
210.262,209.478,0
210.072,209.488,0
210.032,209.598,0
209.922,209.598,0
210.032,209.598,0
209.852,209.598,0
209.852,209.538,0
210.032,209.538,0
210.032,209.558,0
210.032,209.868,0
210.072,209.618,0
210.072,209.568,0
210.072,209.648,0
209.982,209.768,0
210.062,209.648,0
210.062,209.728,0
209.912,209.598,0
210.052,209.598,0
210.182,209.598,0
210.172,209.598,0
210.162,209.598,0
210.182,209.598,0
210.182,209.688,0
210.172,209.688,0
210.162,209.688,0
210.022,209.688,0
210.022,209.768,0
210.272,209.768,0
210.172,209.768,0
210.002,209.768,0
210.172,209.768,0
210.272,209.688,0
210.182,209.688,0
210.152,209.688,0
210.152,210.012,0
210.192,209.688,0
210.182,209.688,0
210.182,209.828,0
210.292,209.828,0
210.182,209.828,0
210.152,209.828,0
210.152,209.658,0
210.182,209.658,0
209.832,209.658,0
209.772,209.218,0
209.822,209.008,0
209.822,208.868,0
209.832,208.868,0
209.792,208.868,0
209.782,208.868,0
209.792,208.868,0
209.792,209.238,0
209.792,209.418,0
210.142,209.418,0
210.192,209.418,0
210.192,209.428,0
210.292,209.428,0
210.292,209.618,0
210.192,209.618,0
210.202,209.618,0
210.292,209.618,0
210.292,209.428,0
210.292,209.418,0
