ASK,BID,QUANTITY
213.033,212.417,0
212.764,212.416,0
213.034,212.416,0
212.754,211.996,0
212.753,211.997,0
212.754,211.996,0
212.754,211.996,0
212.754,211.996,0
212.753,211.997,0
212.753,211.997,0
212.754,211.996,0
212.754,212.006,0
212.753,212.007,0
212.754,212.006,0
212.753,212.007,0
212.753,211.997,0
212.754,211.996,0
212.754,212.046,0
212.754,212.046,0
212.754,212.046,0
212.623,212.327,0
213.104,212.416,0
213.193,212.417,0
213.044,212.416,0
213.044,212.416,0
213.153,212.677,0
213.153,212.647,0
213.014,212.646,0
213.153,212.647,0
212.903,212.647,0
212.884,212.276,0
213.154,212.276,0
212.843,212.277,0
213.154,212.276,0
213.184,212.276,0
213.184,212.276,0
212.663,212.407,0
213.174,212.406,0
212.654,212.406,0
212.534,212.276,0
212.595,212.277,0
213.164,212.406,0
212.704,212.406,0
212.704,212.276,0
212.664,212.276,0
212.703,212.277,0
212.703,212.277,0
212.703,212.427,0
212.893,212.427,0
212.864,212.426,0
213.033,212.427,0
212.944,212.426,0
212.783,212.427,0
212.943,212.427,0
213.034,212.426,0
213.033,212.427,0
213.033,212.427,0
213.033,212.427,0
213.033,212.437,0
213.033,212.427,0
213.034,212.436,0
213.033,212.437,0
213.033,212.437,0
213.034,212.426,0
213.034,212.426,0
213.033,212.427,0
213.034,212.426,0
213.034,212.436,0
213.034,212.436,0
213.033,212.437,0
213.034,212.576,0
213.193,212.437,0
213.193,212.437,0
213.194,212.446,0
213.194,212.846,0
213.328,212.857,0
213.514,213.116,0
214.244,213.306,0
214.243,213.297,0
214.243,213.297,0
214.244,213.296,0
214.244,213.346,0
214.243,213.387,0
214.243,213.387,0
213.803,213.547,0
213.803,213.377,0
213.744,213.376,0
213.633,213.377,0
213.744,213.376,0
213.804,213.376,0
213.683,213.377,0
213.683,213.347,0
213.683,213.347,0
213.534,213.44,0
213.634,213.076,0
213.633,213.027,0
213.584,213.026,0
213.634,213.026,0
213.573,213.027,0
213.634,213.026,0
213.564,213.026,0
213.633,213.027,0
213.553,213.027,0
213.543,213.027,0
213.633,213.027,0
213.544,213.026,0
213.634,213.026,0
213.534,213.026,0
213.633,213.027,0
213.633,213.027,0
213.523,213.097,0
213.514,213.096,0
213.634,213.096,0
213.493,213.097,0
213.633,213.097,0
213.443,213.097,0
213.633,213.097,0
213.423,213.097,0
213.413,213.097,0
213.634,213.096,0
213.403,213.097,0
213.633,213.097,0
213.404,213.096,0
213.274,213.096,0
213.634,213.096,0
213.373,213.097,0
213.374,213.026,0
213.634,213.026,0
213.353,213.027,0
213.363,213.027,0
213.333,213.027,0
213.364,213.026,0
213.284,213.026,0
213.363,213.027,0
213.284,213.026,0
213.253,213.027,0
213.283,213.027,0
213.363,213.027,0
213.204,213.01,0
213.204,212.446,0
213.364,212.446,0
213.123,212.447,0
213.363,212.447,0
213.113,212.447,0
213.103,212.447,0
213.363,212.447,0
213.104,212.446,0
213.093,212.447,0
213.364,212.446,0
213.094,212.446,0
213.364,212.446,0
213.083,212.447,0
213.073,212.447,0
213.363,212.447,0
213.073,212.447,0
213.063,212.447,0
213.363,212.447,0
213.064,212.446,0
213.053,212.447,0
213.363,212.447,0
213.054,212.446,0
213.364,212.446,0
213.364,212.446,0
213.643,212.927,0
213.643,212.917,0
213.203,212.717,0
213.563,212.717,0
213.474,212.716,0
213.474,212.716,0
213.473,213.097,0
213.554,213.186,0
213.643,213.187,0
213.564,213.186,0
213.313,213.187,0
213.313,213.097,0
213.213,213.097,0
213.334,213.026,0
213.304,213.026,0
213.304,212.706,0
213.304,212.706,0
213.103,212.877,0
213.104,212.876,0
213.333,212.987,0
213.223,212.987,0
213.333,212.987,0
213.334,212.876,0
213.334,212.876,0
213.333,212.877,0
213.334,212.876,0
213.333,212.877,0
213.333,212.877,0
213.334,212.876,0
213.333,212.877,0
213.334,212.876,0
213.184,212.876,0
213.333,212.877,0
213.264,212.876,0
213.193,212.877,0
213.194,212.836,0
213.103,212.837,0
213.194,212.836,0
213.093,212.837,0
213.094,212.796,0
213.154,212.796,0
213.013,212.797,0
212.913,212.797,0
213.014,212.686,0
212.853,212.687,0
213.004,212.686,0
213.003,212.447,0
213.004,212.446,0
213.003,212.547,0
213.004,212.556,0
213.004,212.556,0
213.014,212.556,0
213.024,212.556,0
212.914,212.556,0
212.803,212.557,0
212.804,212.546,0
212.804,212.536,0
212.913,212.537,0
212.804,212.536,0
212.913,212.537,0
212.773,212.537,0
212.774,212.446,0
212.713,212.447,0
212.713,211.997,0
212.773,211.987,0
212.773,211.997,0
212.774,211.996,0
212.773,211.997,0
212.773,212.287,0
212.853,212.357,0
212.853,212.367,0
212.853,212.357,0
